pace_id,place_name,location,descript,time,parking,call,link,image,longitude,latitude,placename_onmap,regist_date,edit_date,likes,hashtag
PLACE_SEQ.NEXTVAL,황령산 봉수대,부산 부산진구 전포동 50-1,,매일 00:00 ~ 24:00,불가능,,https://place.map.kakao.com/8692767,https://via.placeholder.com/300x200?text=No+Place+Image,129.081975486375,35.1572485849507,황령산 봉수대,2025-02-19,2025-02-19,0,"#나들이, #드라이브명소, #벚꽃명소, #산책로, #이동약자접근, #일몰감상, #일출명소, #포토존"
PLACE_SEQ.NEXTVAL,문화공감 수정,부산 동구 홍곡로 75  (우)48785,,화~일 10:00 ~ 17:00 (입장시간 10:00 ~ 16:30),불가능,,https://place.map.kakao.com/771465406,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB4D1672B3A774AEA941B6F8DC9A59B15,129.042663472196,35.1257175166516,문화공감 수정,2025-02-19,2025-02-19,0,"#나들이, #포토존"
PLACE_SEQ.NEXTVAL,충렬사,부산 동래구 충렬대로 345  (우)47755,,매일 09:00 ~ 18:00,정보 없음,051-888-7211,https://place.map.kakao.com/9356168,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FbOKYpo%2FbtszF2B8SDQ%2FULuIoN5UzEzV0Y7LCgxZe1%2Fimg.jpg,127.373790335296,35.4119952392576,충렬사,2025-02-19,2025-02-19,0,"#나들이, #단풍명소, #산책로, #포토존"
PLACE_SEQ.NEXTVAL,금정산성 동문,부산 금정구 동문로 38  (우)46237,,,정보 없음,051-519-4082,https://place.map.kakao.com/19265038,https://via.placeholder.com/300x200?text=No+Place+Image,129.063681936853,35.2454243820506,금정산성 동문,2025-02-19,2025-02-19,0,#일출명소
PLACE_SEQ.NEXTVAL,오랑대,부산 기장군 기장읍 연화리,,,정보 없음,,https://place.map.kakao.com/11650926,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa339dcc3d6bea2591c83b024e79b4ad75601d18a%3Foriginal,129.228746011147,35.2059320697688,오랑대,2025-02-19,2025-02-19,0,"#나들이, #드라이브명소, #산책로, #일출명소"
PLACE_SEQ.NEXTVAL,금정산성 남문,부산 금정구 금성동,,,정보 없음,,https://place.map.kakao.com/19184328,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Faa4247c1b00867c9e0cf1c12053ff5fe5612638f1472c5d91a27eee059b80881,129.069459721474,35.1940429075831,금정산성 남문,2025-02-19,2025-02-19,0,
PLACE_SEQ.NEXTVAL,동래읍성 북문,부산 동래구 복천동 538-1,,,정보 없음,,https://place.map.kakao.com/26860101,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC287740E80F649ABA8B41BCF9040921B,129.089977034996,35.209709261377,동래읍성 북문,2025-02-19,2025-02-19,0,"#단풍명소, #산책로, #포토존"
PLACE_SEQ.NEXTVAL,외양포진지,부산 강서구 가덕해안로 1309  (우)46771,,,정보 없음,,https://place.map.kakao.com/25326647,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb8f8121de5305980e8291e83b3c81a6c0fd17a24%3Foriginal,128.826103468178,35.0056074943439,외양포진지,2025-02-19,2025-02-19,0,#나들이
PLACE_SEQ.NEXTVAL,해월정,부산 해운대구 중동 산 42-25,,,정보 없음,,https://place.map.kakao.com/11284396,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2Ftistory%2F157772304CC276B35A,126.90963170684925,33.492262994490375,해월정,2025-02-19,2025-02-19,0,"#벚꽃명소, #산책로, #일출명소, #포토존"
PLACE_SEQ.NEXTVAL,연산동고분군,부산 연제구 연산동 산 90-19,,,정보 없음,,https://place.map.kakao.com/8013327,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0e6fbea22d24ab29b365b732a579854cb9168f6f%3Foriginal,129.091703757732,35.1866207843984,연산동고분군,2025-02-19,2025-02-19,0,"#나들이, #벚꽃명소, #산책로"
PLACE_SEQ.NEXTVAL,부산진성,부산 동구 자성로 99  (우)48746,,,정보 없음,,https://place.map.kakao.com/12736143,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FE3E14C5AD287417C9E2B0C2B1AE00022,129.060504655844,35.135706710384,부산진성,2025-02-19,2025-02-19,0,"#벚꽃명소, #산책로, #포토존"
PLACE_SEQ.NEXTVAL,금정산성 서문,부산 금정구 금성동 1097,,,정보 없음,,https://place.map.kakao.com/18305911,https://via.placeholder.com/300x200?text=No+Place+Image,129.088300086755,35.229109300905,금정산성 서문,2025-02-19,2025-02-19,0,
PLACE_SEQ.NEXTVAL,금정산성 북문,부산 금정구 금성동 1-13,,,정보 없음,,https://place.map.kakao.com/18305912,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fab2a62f61ec7fbded1185f8f380665c3d184dce2%3Foriginal,129.057507886804,35.2754693296476,금정산성 북문,2025-02-19,2025-02-19,0,"#나들이, #일출명소"
PLACE_SEQ.NEXTVAL,동래부동헌,부산 동래구 명륜로112번길 61  (우)47810,,,정보 없음,051-550-4081,https://place.map.kakao.com/12735901,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F01A6CB29DC81424FAD65DB8EEBD5924B,129.086286296649,35.2031296563799,동래부동헌,2025-02-19,2025-02-19,0,
PLACE_SEQ.NEXTVAL,금정산성,부산 금정구 금성동 43,,,정보 없음,,https://place.map.kakao.com/27439715,https://via.placeholder.com/300x200?text=No+Place+Image,129.045454953852,35.2515085285217,금정산성,2025-02-19,2025-02-19,0,
PLACE_SEQ.NEXTVAL,도동서원,대구 달성군 구지면 도동서원로 1  (우)43006,,매일 08:00 ~ 20:00,불가능,053-616-6407,https://place.map.kakao.com/7834487,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA5MDRfMjkw%2FMDAxNzI1Mzk2MDkxODMw.r10LIl0quGDUf-30hFH8GYEn0TMTmoyhj7XIQTez3bUg.jG6ay03PFhkNlPHscK47Niozh9MX6DiXwFx8aanQLoUg.JPEG%2F20240831_173254.jpg%3Ftype%3Dw773,128.371926695172,35.70102407006412,도동서원,2025-02-19,2025-02-19,0,"#나들이, #단풍명소, #산책로, #억새밭, #포토존, #핑크뮬리명소"
PLACE_SEQ.NEXTVAL,군위 아미타여래삼존 석굴,대구 군위군 부계면 남산4길 24  (우)43166,,,정보 없음,054-383-8032,https://place.map.kakao.com/2093474574,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F22DCBDA9B23B48CCACD86C972730B0EB,128.6411288689817,36.04895293941642,군위 아미타여래삼존 석굴,2025-02-19,2025-02-19,0,"#나들이, #단풍명소, #벚꽃명소"
PLACE_SEQ.NEXTVAL,마비정벽화마을,대구 달성군 화원읍 마비정길 262-5  (우)42967,,,정보 없음,053-633-2222,https://place.map.kakao.com/18281173,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FdAZbz2%2FbtsFEklgBoy%2FSgzLlpNi1VV8JkMoEvAfVK%2Fimg.jpg,128.54161228578326,35.77876851385698,마비정벽화마을,2025-02-19,2025-02-19,0,"#걷기좋은, #나들이, #단풍명소, #드라이브명소, #산책로, #포토존"
PLACE_SEQ.NEXTVAL,불로동고분군,대구 동구 불로동 335,,,정보 없음,,https://place.map.kakao.com/17808276,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MDhfMjA3%2FMDAxNzEyNTgwNzAwNjc4.W3joxLMhSG0CY8aDby8DrzIs6bhE5VYWlj_HITkXeKcg.1cSTP-Rl7VCPD_vas5amqqy0u6VQmpHoYByo7kKscj0g.JPEG%2F1712580699273.jpg%3Ftype%3Dw773%26jopt%3D2,128.646852356957,35.9151608131731,불로동고분군,2025-02-19,2025-02-19,0,"#나들이, #드라이브명소, #벚꽃명소, #산책로, #억새밭, #일출명소, #포토존, #핑크뮬리명소"
PLACE_SEQ.NEXTVAL,하목정,대구 달성군 하빈면 하목정길 56-10  (우)42900,,,정보 없음,053-668-3161,https://place.map.kakao.com/10260793,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=https%3A%2F%2Fblog.kakaocdn.net%2Fdn%2FcYGfl0%2FbtsIYeO8Fqa%2FqzIh1WYHKrC6b959bmqwIk%2Fimg.jpg,128.39754538874,35.8817781037634,하목정,2025-02-19,2025-02-19,0,"#나들이, #포토존"
PLACE_SEQ.NEXTVAL,화산산성,대구 군위군 삼국유사면 화북리 산 230,,,정보 없음,,https://place.map.kakao.com/8165141,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FE26F3F6FDEC84EE99ADF8A90A5BEDDC0,128.781359705592,36.0982858363292,화산산성,2025-02-19,2025-02-19,0,"#나들이, #산책로, #전망대, #해바라기"
PLACE_SEQ.NEXTVAL,신숭겸장군유적지,대구 동구 신숭겸길 17  (우)41002,,,정보 없음,,https://place.map.kakao.com/10523047,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb9a9b22d1361baad8eeb8d5af7c68a1cfc3170b4%3Foriginal,128.640979002345,35.9427148480857,신숭겸장군유적지,2025-02-19,2025-02-19,0,"#나들이, #포토존"
PLACE_SEQ.NEXTVAL,대구향교,대구 중구 명륜로 112  (우)41962,,,정보 없음,053-422-8700,https://place.map.kakao.com/7817088,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAyMThfNTEg%2FMDAxNzA4MjMzODQ0MTcw.fwFPEWOM3jba_0PQFTid7ikiw8XEBYAnZjrd2OCYeG0g.zL47uKpDjDf5E_H0BkUOrvtbwJdDF2bn0BX7CzWme1Yg.JPEG.kimyuna0611%2FIMG_2249.JPG%3Ftype%3Dw966,128.59602830154586,35.85962155789743,대구향교,2025-02-19,2025-02-19,0,"#나들이, #단풍명소, #포토존"
PLACE_SEQ.NEXTVAL,구암서원,대구 북구 연암공원로17길 20  (우)41533,,,정보 없음,053-959-7202,https://place.map.kakao.com/12697427,https://t1.kakaocdn.net/thumb/T800x0.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F252EA91CD1C842EFBD5113EC57659CBB,128.59899904414533,35.89881683255076,구암서원,2025-02-19,2025-02-19,0,#단풍명소
